month,pno_percent
2005-01,7.259
2005-02,7.13
2005-03,6.952
2005-04,6.6
2005-05,6.37
2005-06,6.348
2005-07,6.547
2005-08,6.605
2005-09,6.52
2005-10,6.311
2005-11,6.266
2005-12,6.594
2006-01,6.836
2006-02,6.757
2006-03,6.575
2006-04,6.223
2006-05,5.91
2006-06,5.786
2006-07,5.941
2006-08,5.946
2006-09,5.84
2006-10,5.578
2006-11,5.464
2006-12,5.749
2007-01,5.934
2007-02,5.765
2007-03,5.443
2007-04,5.073
2007-05,4.809
2007-06,4.712
2007-07,4.818
2007-08,4.765
2007-09,4.615
2007-10,4.344
2007-11,4.232
2007-12,4.486
2008-01,4.604
2008-02,4.469
2008-03,4.215
2008-04,4.022
2008-05,3.795
2008-06,3.771
2008-07,3.974
2008-08,4.014
2008-09,4.006
2008-10,3.938
2008-11,4.042
2008-12,4.506
2009-01,5.167
2009-02,5.609
2009-03,5.884
2009-04,5.993
2009-05,6.014
2009-06,6.1
2009-07,6.409
2009-08,6.515
2009-09,6.577
2009-10,6.53
2009-11,6.643
2009-12,7.116
2010-01,7.59
2010-02,7.675
2010-03,7.513
2010-04,7.073
2010-05,6.747
2010-06,6.593
2010-07,6.699
2010-08,6.644
2010-09,6.596
2010-10,6.537
2010-11,6.639
2010-12,7.403
2011-01,7.581
2011-02,7.473
2011-03,7.186
2011-04,6.736
2011-05,6.406
2011-06,6.307
2011-07,6.444
2011-08,6.394
2011-09,6.292
2011-10,6.213
2011-11,6.284
2011-12,6.769
2012-01,7.132
2012-02,7.239
2012-03,7.01
2012-04,6.637
2012-05,6.443
2012-06,6.351
2012-07,6.516
2012-08,6.535
2012-09,6.629
2012-10,6.677
2012-11,6.84
2012-12,7.367
2013-01,7.966
2013-02,8.086
2013-03,8.006
2013-04,7.7
2013-05,7.458
2013-06,7.336
2013-07,7.504
2013-08,7.526
2013-09,7.587
2013-10,7.573
2013-11,7.698
2013-12,8.175
2014-01,8.627
2014-02,8.584
2014-03,8.336
2014-04,7.884
2014-05,7.538
2014-06,7.372
2014-07,7.444
2014-08,7.371
2014-09,7.256
2014-10,7.107
2014-11,7.089
2014-12,7.462
2015-01,7.658
2015-02,7.531
2015-03,7.197
2015-04,6.725
2015-05,6.375
2015-06,6.176
2015-07,6.268
2015-08,6.191
2015-09,6.049
2015-10,5.895
2015-11,5.903
2015-12,6.236
2016-01,6.441
2016-02,6.342
2016-03,6.076
2016-04,5.679
2016-05,5.388
2016-06,5.244
2016-07,5.381
2016-08,5.321
2016-09,5.162
2016-10,4.972
2016-11,4.9
2016-12,5.186
2017-01,5.291
2017-02,5.144
2017-03,4.79
2017-04,4.388
2017-05,4.117
2017-06,3.969
2017-07,4.069
2017-08,3.979
2017-09,3.802
2017-10,3.601
2017-11,3.516
2017-12,3.77
2018-01,3.894
2018-02,3.745
2018-03,3.495
2018-04,3.198
2018-05,3.013
2018-06,2.941
2018-07,3.065
2018-08,3.052
2018-09,2.961
2018-10,2.826
2018-11,2.815
2018-12,3.071
2019-01,3.256
2019-02,3.197
2019-03,2.991
2019-04,2.749
2019-05,2.623
2019-06,2.567
2019-07,2.719
2019-08,2.722
2019-09,2.671
2019-10,2.588
2019-11,2.592
2019-12,2.868
2020-01,3.071
2020-02,3.03
2020-03,3.008
2020-04,3.44
2020-05,3.622
2020-06,3.678
2020-07,3.83
2020-08,3.819
2020-09,3.771
2020-10,3.7
2020-11,3.752
2020-12,4.016
2021-01,4.265
2021-02,4.304
2021-03,4.236
2021-04,4.104
2021-05,3.921
2021-06,3.729
2021-07,3.712
2021-08,3.648
2021-09,3.548
2021-10,3.381
2021-11,3.277
2021-12,3.486
2022-01,3.607
2022-02,3.544
2022-03,3.38
2022-04,3.311
2022-05,3.186
2022-06,3.129
2022-07,3.28
2022-08,3.446
2022-09,3.499
2022-10,3.482
2022-11,3.497
2022-12,3.723
2023-01,3.888
2023-02,3.873
2023-03,3.735
2023-04,3.565
2023-05,3.452
2023-06,3.398
2023-07,3.547
2023-08,3.58
2023-09,3.608
2023-10,3.455
2023-11,3.488
2023-12,3.731
2024-01,3.961
2024-02,3.965
2024-03,3.86
2024-04,3.739
2024-05,3.624
2024-06,3.61
2024-07,3.766
2024-08,3.816
2024-09,3.874
2024-10,3.842
2024-11,3.862
2024-12,4.101
2025-01,4.296
2025-02,4.377
2025-03,4.316
2025-04,4.274
2025-05,4.226
2025-06,4.221
2025-07,4.43
2025-08,4.492
2025-09,4.55
2025-10,4.583
2025-11,4.594
2025-12,4.782
2026-01,5.125
2026-02,5.166
2026-03,5.033
2026-04,4.923
2026-05,4.821
2026-06,4.787
2026-07,4.954
2026-08,5.049
